Tweet ID,Text,Created at,Like count,Retweet count,Reply count,User,User Location,User Followers Count
1667828294270459906,"At the Palais Présidentiel in Djibouti, held talks with Djibouti President @IsmailOguelleh ahead of the 14th Ordinary Assembly of the Intergovernmental Authority on Development (IGAD) Heads of State and Government. https://t.co/T19uAGmYlc",2023-06-11 09:37:06+00:00,653,71,0,WilliamsRuto,Kenya,5982032
1667828290470526977,A more peaceful Africa stands to make remarkable progress in the much-desired transformation in the continent. https://t.co/FWQgONMKXD,2023-06-11 09:37:05+00:00,246,29,0,WilliamsRuto,Kenya,5982032
1667828287605813249,Strengthening our existing ties with Djibouti will improve trade and investment between our countries besides securing enduring stability in the region — particularly the Horn of Africa. https://t.co/ctmbPQepv2,2023-06-11 09:37:05+00:00,1766,254,0,WilliamsRuto,Kenya,5982033
1667301262080049153,A young man destined for greatness. Emmanuel Wanyonyi caps a wonderful night for Kenya with victory in the 800m with the fastest time in the world over that distance this year in Paris Diamond League. You deserve it. We celebrate you. https://t.co/EGLbCSbWcd https://t.co/j0I7KhQWLD,2023-06-09 22:42:52+00:00,3040,313,0,WilliamsRuto,Kenya,5982033
1667278328011603968,"Congratulations to the fastest man in Africa, @Ferdiomanyala, for a remarkable run, grabbing silver in the 100 metres at the Paris Diamond League. 

We celebrate your resilience and for taking Kenya to prominence and excellence in the sprint races; unchartered territory for… https://t.co/YZGIlLA2XJ https://t.co/fkzuvmVIJw",2023-06-09 21:11:44+00:00,4431,464,0,WilliamsRuto,Kenya,5982033
1667266047206998018,"Tenacity, focus, hunger for excellence, and a winning mindset are the formula for greatness. Faith Kipyegon has done it again. Another World Record this time in the 5,000 metres. What an athlete! What an inspiration! What a champion! Congratulations, Kenya is immensely proud of… https://t.co/F0yZ8w7jYv https://t.co/MHul5NButq",2023-06-09 20:22:56+00:00,6924,967,0,WilliamsRuto,Kenya,5982033
1667227543164821504,"The Safari Rally is among the favourites in the World Rally Championship, watched by millions of devoted spectators globally and adored by generations. It has also mentored dozens of talented Kenyan drivers. https://t.co/qj9SMXFXHF",2023-06-09 17:49:56+00:00,223,30,0,WilliamsRuto,Kenya,5982033
1667225957076291584,The 2023 edition of the Safari Rally will continue the magnificent tradition that has turned it into a distinguished fixture in the global calendar. https://t.co/oixMqJNi78,2023-06-09 17:43:38+00:00,101,16,0,WilliamsRuto,Kenya,5982033
1667217828624121868,"Commemorated the 70th Anniversary of the Safari Rally and launched the Sports and Creative Economy Master Plan at State House, Nairobi. https://t.co/ix8XnGEpLp",2023-06-09 17:11:20+00:00,402,52,0,WilliamsRuto,Kenya,5982033
1667217825474260992,"By making it competitive, Kenya stands to monetise the sector, generating more jobs and income for our youth to drive our growth. https://t.co/5C7wuvZ8Hh",2023-06-09 17:11:19+00:00,226,32,0,WilliamsRuto,Kenya,5982033
